artist_name-1,Artist Name(s),artist_id
The White Stripes,The White Stripes,342
Coldplay,Coldplay,69
Hilltop Hoods,Hilltop Hoods,152
glue70,glue70,139
Coldplay,Coldplay,69
JAY-Z,JAY-Z;Alicia Keys,167
Alicia Keys,JAY-Z;Alicia Keys,11
Fort Minor,Fort Minor;Styles Of Beyond,126
Styles Of Beyond,Fort Minor;Styles Of Beyond,308
Travis Scott,Travis Scott;HVME,355
HVME,Travis Scott;HVME,156
Electric Light Orchestra,Electric Light Orchestra,108
Kanye West,Kanye West,181
Tevvez,Tevvez,318
Tujamo,Tujamo,359
Kanye West,Kanye West,181
Post Malone,Post Malone;Swae Lee,266
Swae Lee,Post Malone;Swae Lee,310
New Order,New Order,245
Kanye West,Kanye West;Dwele,181
Dwele,Kanye West;Dwele,104
Post Malone,Post Malone,266
Cream,Cream,72
Galantis,Galantis,133
Hilltop Hoods,Hilltop Hoods,152
TWISTED,TWISTED;Oliver Tree,362
Oliver Tree,TWISTED;Oliver Tree,249
MGMT,MGMT,233
DMX,DMX,97
Hilltop Hoods,Hilltop Hoods,152
OneRepublic,OneRepublic,250
Dance Fruits Music,Dance Fruits Music,81
MGMT,MGMT,233
The Killers,The Killers,335
KISS,KISS,194
Coldplay,Coldplay,69
Peking Duk,Peking Duk;Nicole Millar,258
Nicole Millar,Peking Duk;Nicole Millar,246
Macklemore,Macklemore;Ryan Lewis;Macklemore & Ryan Lewis;Ray Dalton,218
Ryan Lewis,Macklemore;Ryan Lewis;Macklemore & Ryan Lewis;Ray Dalton,284
Ray Dalton,Macklemore;Ryan Lewis;Macklemore & Ryan Lewis;Ray Dalton,271
Macklemore & Ryan Lewis,Macklemore;Ryan Lewis;Macklemore & Ryan Lewis;Ray Dalton,219
Zombie Nation,Zombie Nation,376
Caesars,Caesars,51
Outkast,Outkast,253
Black Eyed Peas,Black Eyed Peas,39
MEDUZA,MEDUZA;Goodboys,229
Goodboys,MEDUZA;Goodboys,140
The Rolling Stones,The Rolling Stones,339
Harry Styles,Harry Styles,150
Ghostface Playa,Ghostface Playa;Pharmacist,136
Pharmacist,Ghostface Playa;Pharmacist,262
PlayaPhonk,PlayaPhonk,265
Flo Rida,Flo Rida;T-Pain,123
T-Pain,Flo Rida;T-Pain,312
iamjakehill,iamjakehill,157
FrankJavCee,FrankJavCee,130
Red Hot Chili Peppers,Red Hot Chili Peppers,273
Elton John,Elton John,112
grandson,grandson,142
Estelle,Estelle;Kanye West,117
Kanye West,Estelle;Kanye West,181
David Guetta,David Guetta;Kid Cudi,83
