artist_name,song_id
The White Stripes,183
Coldplay,418
Coldplay,383
Coldplay,99
Coldplay,27
Coldplay,14
Hilltop Hoods,389
Hilltop Hoods,353
Hilltop Hoods,113
glue70,416
Coldplay,418
Coldplay,383
Coldplay,99
Coldplay,27
Coldplay,14
JAY-Z,135
Alicia Keys,135
Fort Minor,354
Styles Of Beyond,354
Travis Scott,311
HVME,311
Electric Light Orchestra,153
Kanye West,129
Kanye West,33
Tevvez,6
Tujamo,64
Kanye West,129
Kanye West,33
Post Malone,50
Swae Lee,50
New Order,168
Kanye West,309
Dwele,309
Post Malone,395
Post Malone,108
Cream,218
Galantis,229
Hilltop Hoods,389
Hilltop Hoods,353
Hilltop Hoods,113
TWISTED,320
Oliver Tree,320
MGMT,162
MGMT,87
MGMT,87
MGMT,88
MGMT,88
DMX,329
Hilltop Hoods,389
Hilltop Hoods,353
Hilltop Hoods,113
OneRepublic,247
OneRepublic,156
Dance Fruits Music,413
MGMT,162
MGMT,87
MGMT,87
MGMT,88
MGMT,88
The Killers,3
KISS,9
Coldplay,418
Coldplay,383
Coldplay,99
Coldplay,27
Coldplay,14
Peking Duk,381
Nicole Millar,381
Macklemore,109
Ryan Lewis,109
Ray Dalton,109
Macklemore & Ryan Lewis,109
Zombie Nation,397
Caesars,316
Outkast,149
Outkast,32
Black Eyed Peas,163
MEDUZA,76
Goodboys,76
The Rolling Stones,327
Harry Styles,255
Ghostface Playa,90
Pharmacist,90
PlayaPhonk,301
Flo Rida,17
T-Pain,17
iamjakehill,190
FrankJavCee,49
Red Hot Chili Peppers,221
Red Hot Chili Peppers,182
Elton John,313
grandson,12
Estelle,110
Kanye West,110
David Guetta,317
Kid Cudi,317
Bruno Mars,215
Bruno Mars,45
MEDUZA,394
Becky Hill,394
Goodboys,394
Calvin Harris,81
Fall Out Boy,66
Loud Luxury,124
Brando,124
Flume,374
T-Shirt,374
Macky Gee,339
Stuart Rowe,339
Bag Raiders,55
The Weeknd,196
The Weeknd,59
Haddaway,116
Calvin Harris,405
Ellie Goulding,405
Imagine Dragons,325
Tame Impala,350
The Chainsmokers,379
Maroon 5,411
Christina Aguilera,411
Dire Straits,236
Dire Straits,172
Aerosmith,105
Mötley Crüe,345
Bastille,342
Tove Lo,73
OneRepublic,247
OneRepublic,156
John Newman,308
John Newman,207
Capital Cities,372
Woodkid,16
Beastie Boys,48
Calvin Harris,8
John Newman,8
Kings of Leon,312
Kings of Leon,95
The Who,19
Duke Dumont,233
Jungle,396
M.I.A.,86
The Neighbourhood,392
The Neighbourhood,151
The Neighbourhood,138
Neon Trees,137
Two Door Cinema Club,187
Two Door Cinema Club,26
Bring Me The Horizon,63
The Neighbourhood,392
The Neighbourhood,151
The Neighbourhood,138
Rudimental,35
John Newman,35
Keane,38
Radiohead,375
John Newman,308
John Newman,207
Nirvana,145
Nirvana,68
Cage The Elephant,415
Cage The Elephant,273
Arctic Monkeys,310
Arctic Monkeys,284
The Neighbourhood,392
The Neighbourhood,151
The Neighbourhood,138
Post Malone,395
Post Malone,108
Post Malone,53
Young Thug,53
Lenny Kravitz,366
Lenny Kravitz,96
Sophie Ellis-Bextor,274
"Tyler, The Creator",399
Kali Uchis,399
Pixies,37
Coldplay,418
Coldplay,383
Coldplay,99
Coldplay,27
Coldplay,14
Twenty One Pilots,166
Green Day,83
Cage The Elephant,415
Cage The Elephant,273
Dr. Dog,57
Phantogram,370
Amy Winehouse,184
Harmless,212
The Irrepressibles,71
The Verve,282
The Black Keys,295
Outkast,149
Outkast,32
Coldplay,418
Coldplay,383
Coldplay,99
Coldplay,27
Coldplay,14
Hoobastank,286
Wallows,283
Clairo,283
Dayglow,324
JAY-Z,412
Kanye West,412
The-Dream,412
Frank Ocean,412
Kings of Leon,312
Kings of Leon,95
B.E.R.,133
The Animals,393
Soft Cell,18
Bonnie Tyler,297
Red Hot Chili Peppers,221
Red Hot Chili Peppers,182
Guns N' Roses,414
Guns N' Roses,340
Linkin Park,251
Badfinger,361
Badfinger,161
Simple Minds,186
Two Door Cinema Club,187
Two Door Cinema Club,26
DJ Shadow,343
Mos Def,343
DJ Shadow,209
Run The Jewels,209
Depeche Mode,54
The White Stripes,249
The Glitch Mob,249
Tom Petty,264
Tommy Richman,285
Ice Cube,152
Afroman,52
Supermode,277
Axwell,277
Steve Angello,277
SNAP!,300
Lynyrd Skynyrd,291
The Game,160
50 Cent,160
Eagles Of Death Metal,77
Beach Weather,404
DJ Fresh,210
Collective Soul,385
Modjo,232
The Halluci Nation,289
Crystal Waters,100
The Basement Boys,100
Creedence Clearwater Revival,347
TrackTribe,384
2Pac,192
Roger,192
Dr. Dre,192
BigXthaPlug,398
KETTAMA,344
RÜFÜS DU SOL,386
Fleetwood Mac,290
John Farnham,377
John Farnham,348
John Farnham,330
John Farnham,206
John Farnham,377
John Farnham,348
John Farnham,330
John Farnham,206
John Farnham,377
John Farnham,348
John Farnham,330
John Farnham,206
Nirvana,145
Nirvana,68
Butthole Surfers,94
Guns N' Roses,414
Guns N' Roses,340
Fontaines D.C.,114
Fontaines D.C.,11
Arctic Monkeys,310
Arctic Monkeys,284
Fontaines D.C.,114
Fontaines D.C.,11
John Farnham,377
John Farnham,348
John Farnham,330
John Farnham,206
1927,142
Bryan Adams,30
Rainbow,29
Badfinger,361
Badfinger,161
Duran Duran,174
Frankie Valli,15
Lana Del Rey,406
Cedric Gervais,406
Creed,225
Lana Del Rey,179
Cedric Gervais,179
Carlos Cid,179
Robbie Williams,263
Holy Fuck,176
Dire Straits,236
Dire Straits,172
The Cult,205
Daft Punk,24
The Cure,270
Memphis Cult,118
Groove Dealers,118
SPLYXER,118
Cults,120
Eagles,222
DTMX,85
Djo,214
Djo,189
Djo,214
Djo,189
Torre Florim,331
De Staat,125
De Staat,112
d4vd,256
Speelburg,252
Le Tigre,281
Vindigo,10
The Chemical Brothers,117
Men Without Hats,302
Jamiroquai,230
De Staat,125
De Staat,112
The Goo Goo Dolls,358
Lenny Kravitz,366
Lenny Kravitz,96
Frank Sinatra,164
Mac DeMarco,272
Ted Nugent,122
Teddybears,420
Iggy Pop,420
Australian Crawl,315
Seph Bentos,201
DigBar,382
Vacations,89
PARTYNEXTDOOR,293
PARTYNEXTDOOR,287
PARTYNEXTDOOR,194
PARTYNEXTDOOR,154
PARTYNEXTDOOR,111
PARTYNEXTDOOR,106
PARTYNEXTDOOR,70
PARTYNEXTDOOR,293
PARTYNEXTDOOR,287
PARTYNEXTDOOR,194
PARTYNEXTDOOR,154
PARTYNEXTDOOR,111
PARTYNEXTDOOR,106
PARTYNEXTDOOR,70
PARTYNEXTDOOR,293
PARTYNEXTDOOR,287
PARTYNEXTDOOR,194
PARTYNEXTDOOR,154
PARTYNEXTDOOR,111
PARTYNEXTDOOR,106
PARTYNEXTDOOR,70
PARTYNEXTDOOR,140
PARTYNEXTDOOR,78
Drake,140
Drake,78
Drake,352
Drake,250
Drake,200
Drake,139
Drake,123
Drake,103
Drake,75
Drake,39
Drake,34
Drake,4
Drake,5
Drake,352
Drake,250
Drake,200
Drake,139
Drake,123
Drake,103
Drake,75
Drake,39
Drake,34
Drake,4
Drake,5
Drake,204
Chris Brown,204
Jhené Aiko,254
Jhené Aiko,158
Jhené Aiko,79
The Weeknd,196
The Weeknd,59
Bryson Tiller,306
Bryson Tiller,227
Bryson Tiller,203
Drake,352
Drake,250
Drake,200
Drake,139
Drake,123
Drake,103
Drake,75
Drake,39
Drake,34
Drake,4
Drake,5
Drake,352
Drake,250
Drake,200
Drake,139
Drake,123
Drake,103
Drake,75
Drake,39
Drake,34
Drake,4
Drake,5
Mariah the Scientist,318
