artist_name,artist_id
The White Stripes,342
Coldplay,69
Hilltop Hoods,152
glue70,139
Coldplay,69
JAY-Z,167
Alicia Keys,11
Fort Minor,126
Styles Of Beyond,308
Travis Scott,355
HVME,156
Electric Light Orchestra,108
Kanye West,181
Tevvez,318
Tujamo,359
Kanye West,181
Post Malone,266
Swae Lee,310
New Order,245
Kanye West,181
Dwele,104
Post Malone,266
Cream,72
Galantis,133
Hilltop Hoods,152
TWISTED,362
Oliver Tree,249
MGMT,233
DMX,97
Hilltop Hoods,152
OneRepublic,250
Dance Fruits Music,81
MGMT,233
The Killers,335
KISS,194
Coldplay,69
Peking Duk,258
Nicole Millar,246
Macklemore,218
Ryan Lewis,284
Ray Dalton,271
Macklemore & Ryan Lewis,219
Zombie Nation,376
Caesars,51
Outkast,253
Black Eyed Peas,39
MEDUZA,229
Goodboys,140
The Rolling Stones,339
Harry Styles,150
Ghostface Playa,136
Pharmacist,262
PlayaPhonk,265
Flo Rida,123
T-Pain,312
iamjakehill,157
FrankJavCee,130
Red Hot Chili Peppers,273
Elton John,112
grandson,142
Estelle,117
Kanye West,181
David Guetta,83
Kid Cudi,190
Bruno Mars,47
MEDUZA,229
Becky Hill,37
Goodboys,140
Calvin Harris,53
Fall Out Boy,120
Loud Luxury,214
Brando,45
Flume,124
T-Shirt,313
Macky Gee,220
Stuart Rowe,307
Bag Raiders,31
The Weeknd,341
Haddaway,148
Calvin Harris,53
Ellie Goulding,110
Imagine Dragons,160
Tame Impala,315
The Chainsmokers,324
Maroon 5,225
Christina Aguilera,64
Dire Straits,93
Aerosmith,7
Mötley Crüe,240
Bastille,33
Tove Lo,353
OneRepublic,250
John Newman,174
Capital Cities,54
Woodkid,371
Beastie Boys,35
Calvin Harris,53
John Newman,174
Kings of Leon,193
The Who,343
Duke Dumont,102
Jungle,178
M.I.A.,216
The Neighbourhood,337
Neon Trees,244
Two Door Cinema Club,363
Bring Me The Horizon,46
The Neighbourhood,337
Rudimental,281
John Newman,174
Keane,182
Radiohead,269
John Newman,174
Nirvana,248
Cage The Elephant,52
Arctic Monkeys,20
The Neighbourhood,337
Post Malone,266
Post Malone,266
Young Thug,375
Lenny Kravitz,207
Sophie Ellis-Bextor,297
"Tyler, The Creator",364
Kali Uchis,180
Pixies,264
Coldplay,69
Twenty One Pilots,361
Green Day,143
Cage The Elephant,52
Dr. Dog,98
Phantogram,261
Amy Winehouse,14
Harmless,149
The Irrepressibles,334
The Verve,340
The Black Keys,322
Outkast,253
Coldplay,69
Hoobastank,154
Wallows,368
Clairo,68
Dayglow,84
JAY-Z,167
Kanye West,181
The-Dream,344
Frank Ocean,127
Kings of Leon,193
B.E.R.,27
The Animals,320
Soft Cell,296
Bonnie Tyler,44
Red Hot Chili Peppers,273
Guns N' Roses,147
Linkin Park,210
Badfinger,30
Simple Minds,293
Two Door Cinema Club,363
DJ Shadow,95
Mos Def,238
DJ Shadow,95
Run The Jewels,283
Depeche Mode,89
The White Stripes,342
The Glitch Mob,330
Tom Petty,348
Tommy Richman,349
Ice Cube,158
Afroman,8
Supermode,309
Axwell,24
Steve Angello,304
SNAP!,294
Lynyrd Skynyrd,215
The Game,329
50 Cent,6
Eagles Of Death Metal,106
Beach Weather,34
DJ Fresh,94
Collective Soul,70
Modjo,237
The Halluci Nation,333
Crystal Waters,77
The Basement Boys,321
Creedence Clearwater Revival,74
TrackTribe,354
2Pac,4
Roger,280
Dr. Dre,99
BigXthaPlug,38
KETTAMA,187
RÜFÜS DU SOL,282
Fleetwood Mac,122
John Farnham,173
John Farnham,173
John Farnham,173
Nirvana,248
Butthole Surfers,50
Guns N' Roses,147
Fontaines D.C.,125
Arctic Monkeys,20
Fontaines D.C.,125
John Farnham,173
1927,3
Bryan Adams,48
Rainbow,270
Badfinger,30
Duran Duran,103
Frankie Valli,129
Lana Del Rey,200
Cedric Gervais,59
Creed,73
Lana Del Rey,200
Cedric Gervais,59
Carlos Cid,57
Robbie Williams,279
Holy Fuck,153
Dire Straits,93
The Cult,326
Daft Punk,80
The Cure,327
Memphis Cult,231
Groove Dealers,145
SPLYXER,300
Cults,78
Eagles,105
DTMX,101
Djo,96
Djo,96
Torre Florim,351
De Staat,86
d4vd,79
Speelburg,299
Le Tigre,205
Vindigo,366
The Chemical Brothers,325
Men Without Hats,232
Jamiroquai,165
De Staat,86
The Goo Goo Dolls,331
Lenny Kravitz,207
Frank Sinatra,128
Mac DeMarco,217
Ted Nugent,316
Teddybears,317
Iggy Pop,159
Australian Crawl,23
Seph Bentos,289
DigBar,91
Vacations,365
PARTYNEXTDOOR,254
PARTYNEXTDOOR,254
PARTYNEXTDOOR,254
PARTYNEXTDOOR,254
Drake,100
Drake,100
Drake,100
Drake,100
Chris Brown,62
Jhené Aiko,170
The Weeknd,341
Bryson Tiller,49
Drake,100
Drake,100
Mariah the Scientist,224
Mariah the Scientist,224
Lil Baby,208
Tory Lanez,352
Trippie Redd,357
Reese LAFLARE,274
Young Thug,375
