developer_id,game_id
1140,14276
1231,3775
1742,5694
1919,22106
1919,3880
2067,15479
2067,15474
2067,1625
2067,1386
2067,1388
2067,1389
3332,9616
3434,6254
4879,1475
1177,20060
2269,8510
2269,5045
3677,25928
4166,13593
185,4704
185,1317
1893,7203
1936,8607
2916,7546
3858,2621
4340,5143
4893,25276
4893,11393
4973,14976
5471,17397
5471,5452
5471,1847
5471,1154
5471,1129
5610,2770
422,11935
422,9699
422,9296
422,7704
422,6960
422,6689
1508,4023
2557,8595
2785,2086
3008,14307
3008,7050
4016,5982
4837,18888
5953,1311
4332,4991
4570,10068
4666,2471
4738,10662
4738,7081
507,24576
507,8679
507,8268
507,7387
507,7389
507,7043
507,6871
3414,6336
3414,5817
3914,12154
3914,10889
3914,9151
3914,8919
5815,3626
5815,3627
5815,2848
5815,2111
1471,14655
1683,14181
2876,16952
2876,13212
3222,24973
3222,11809
5298,3329
3253,21079
3253,7375
4532,12372
6066,18327
31,1205
397,4924
1960,2901
2074,4036
3874,3382
3937,11464
4392,12382
4392,2274
4702,16646
5191,1976
5462,25161
5713,2777
953,9340
953,3908
953,2305
991,4140
1862,14407
2866,6780
5275,6410
1002,11620
1002,4188
1302,17415
1665,10988
3952,18241
5534,25643
5732,10574
1812,9861
2474,7020
3834,14549
4225,6860
4225,5120
4521,20381
4918,18405
1178,20619
1178,16610
1178,15971
1178,14729
1178,13980
1362,12373
2304,16031
3173,12597
3563,6260
3571,1689
996,4155
1418,2191
1957,24398
1957,18198
2900,25133
2900,13397
4377,17070
5085,1759
5902,9388
538,26518
2965,25917
2965,24353
2965,23765
2965,17594
2965,17473
2965,11880
2965,564
3940,2993
4273,5388
4449,4237
4328,1077
4671,5781
5549,1918
5995,19433
5995,9675
827,2952
827,1496
1714,11658
1714,10934
3941,26080
4015,9697
4015,7567
4281,5122
5402,1642
508,9217
1046,1436
3780,7168
5001,10807
5001,6499
1168,12872
1168,3737
1168,2158
2330,9555
4657,16466
5349,12337
1113,1077
1915,3843
1915,2646
3103,14535
3534,14552
4871,4746
4871,1866
4871,1460
4871,1320
4871,1103
5305,8717
669,1711
4637,17329
5559,9515
1524,3763
1865,1965
2352,3516
2822,9765
4463,15389
4615,2107
5043,3621
6022,20537
592,3491
2517,10543
3645,9511
4238,2847
5161,6002
5601,8677
5634,4954
1368,18756
1395,15013
1395,8920
1395,4946
2464,3599
2514,18696
2514,6563
3056,6798
3300,1262
3300,1259
3721,5258
3946,2160
1240,15029
1439,1430
1855,13953
1927,16860
5401,8121
5684,3057
5981,14122
1187,4018
1343,11746
1992,3641
2322,11847
3400,6565
4103,2381
4980,11817
4980,7493
5050,11709
5055,16531
5735,4408
5735,2913
5735,2914
5735,2620
5735,2228
301,22783
1464,17265
1464,2153
2068,1687
2298,3226
5412,13435
95,24732
2471,14289
3401,2316
4641,26961
5132,11478
6025,17270
94,2432
620,12747
1773,8740
2057,16019
2420,1271
2420,1272
2420,1273
2420,1274
2420,1275
2563,4432
2621,6672
4129,16304
4129,11114
4458,12039
4869,4778
4869,2051
4869,1849
