developer_id,developer_name
1,.dat
2,"""Ellie"""
3,[bracket]games
4,[erka:es]
5,[geim].pro
6,[OneManBand]
7,][ Games Inc
8,@alonzubin
9,@CarlosGameDev
10,@unepic_fran
11,#workshop
12,△○□× (Miwashiba)
13,07th Expansion
14,100 Stones Interactive
15,10Ants Hill
16,10th Art Studio
17,10tons Ltd
18,11 bit studios
19,1337 & Senri AB
20,14 Hours Productions
21,14° East
22,16bit Nights
23,17-BIT
24,17Studio
25,18Light Game Ltd.
26,1939 Games
27,1C Entertainment
28,1C Game Studios
29,1C-Avalon
30,1C-SoftClub
31,1C: Maddox Games
32,1C:InoCo
33,2 Monkeys
34,2 players
35,2 Zombie Games
36,2015
37,2020 Venture
38,22cans
39,251 Games
40,2by3 Games
41,2Chance Projects
42,2D BOY
43,2DArray
44,2dengine
45,2DEngine.com
46,2K Australia
47,2K Boston
48,2K China
49,2K Czech
50,2K Marin
51,2Play
52,2SD
53,2x2 Games
54,2XL Games
55,3 Minute Games
56,3 Sprockets
57,30.06 Studios Ltd
58,3000AD
59,314 Arts
60,343 Industries
61,34BigThings srl
62,38 Studios
63,3D2 Entertainment
64,3DDUO
65,3dinvis games
66,3Division
67,3f Interactive
68,3X Entertainment Limited
69,4 Dimension Games
70,4 Head Studios
71,4 I Lab
72,48h Studio
73,4A Games
74,4Fufelz
75,4gency
76,4H StudioLab
77,4HEAD Studios
78,5 Bits Games
79,5 Lives Studios
80,5pb.
81,5th Cell Media
82,5Wolf
83,6 Eyes Studio
84,773
85,777 Studios
86,7DOTS
87,7th Beat Games
88,800 North and Digital Ranch
89,8888888 LABS
90,8D Studio
91,8Floor
92,8i
93,8monkey Labs
94,8th Floor Games
95,90Games
96,98DEMAKE
97,9heads Game Studios
98,9TH.ART
99,A Crowd of Monsters
100,A Jolly Corpse
101,"A Sharp, LLC"
102,A Sweet Studio
103,A.Y.std
104,a2z Interactive
105,AAAGAMES
106,AAD Productions
107,Aardman Animations
108,Aaron Bales
109,Abbey Games
110,Abigail Corfman
111,Abnormal Software
112,Above and Beyond Technologies
113,Abraham Carreola
114,Abrakam SA
115,Absolut Soft LLC
116,Absorb Reality
117,Absorbed Studios
118,Abstract Tree Studio
119,AbstractArt
120,Abstraction Games
121,Abylight
122,Abyss Gameworks
123,Abyte Entertainment
124,"Acceleroto, Inc."
125,Access Games
126,Accidental Queens
127,Acclaim Studios Teeside
128,Accolade
129,"Accolade, Inc."
130,ACE MADDOX
131,ACE Team
132,Acerola
133,Acid Nerve
134,Acid Wizard Studio
135,Acido Cinza
136,Acke Hallgren
137,ACQUIRE Corp.
138,"Act 3 Games, LLC"
139,Actalogic
140,"Action Button Entertainment, LLC"
141,Active Gaming Media Inc.
142,Actoz Soft
143,Acute Games
144,Acuze Interactives
145,Adam DeLease
146,Adam Murgittroyd
147,Adam Saltsman
148,Adam Spragg
149,ADhD Studios
150,"Adityaraj Rukhane, ""Adiart"""
151,Admir Leka
152,adnzzzzZ
153,Adriaan de Jongh
154,AdroVGames
155,Adventure Planning Service
156,Adventurepro Games LLC
157,Aegon Games
158,Aerilon Studios
159,Aero Games
160,AFBIK Studio
161,Afterthought LLC
162,Afterthought Studios
163,AG media
164,Agafonoff
165,Against Gravity®
166,Agate
167,AGC
168,Ageod
169,Agharta Studio
170,AGM PLAYISM
171,AHA Entertainment
172,AHEARTFULOFGAMES
173,AIGRIND
174,Airship Syndicate
175,Airtight Games
176,Airwolt
177,aiueoKompany
178,Aivaras Klimas
179,AIVIK LLC
180,AK Games
181,Akaba Studio
182,AKABEiSOFT2
183,Akakiy Petrushkin
184,AKATSUKI-WORKS
185,Akella
186,AL-GAME
187,Alan Edwardes
188,Alan Hazelden
189,Alan Zucconi
190,Alasdair Beckett-King
191,Alastair John Jack
192,Alawar
193,Alawar Dreamdale
194,Alawar Entertainment
195,Alawar Stargaze
196,Albert Fernandez
197,Albino Moose Games
198,Alda Games
199,Aldin Dynamics
200,Aldorlea Games
201,Alec Smith
202,Aleksandar Kuzmanovic Games Inc.
203,Aleksandr Golovkin
204,Aleksandr Soldatov
205,Aleksey Abramenko
206,Alersteam
207,Aleson
208,Alessandro Guzzo
209,Alex Carpenter
210,Alex Olinkiewicz
211,Alex Piola
212,Alex Rose
213,Alex Thomas
214,Alex Zhang
215,Alexander Bruce
216,Alexander Goodwin
217,Alexander Mirdzveli
218,Alexandr Kataev
219,Alexandr Lavelin
220,Alexey Bokulev
221,Alexey Davydov
222,Alexey Khazov
223,Alexey Lavrov
224,Alexey Roenko
225,Alexzander Protasenya
226,Alice & Smith
227,ALICE IN DISSONANCE
228,Alien Jellyfish
229,Alien Pixel Studios
230,Alientrap
231,Alister Software
232,AliveGameStudio
233,Alkemi
234,All Seeing Eye Games
235,All Yes Good
236,Allen Dayan
237,Allgraf
238,Allicorn Games
239,Alligator Pit
240,Allods Team
241,ALLPlayer Group Ltd.
242,Almighty Games
243,Almost Human Games
244,Alonzu
245,alpha six productions
246,Alpha Wave Entertainment
247,AlphaSoft LLC
248,AlPixel Games
249,Altai Game Studio
250,Altar Games
251,Altar Interactive
252,ALTAR Interactive
253,Altay Workshop
254,AlternativaPlatform
255,Altfuture
256,"AltspaceVR, Inc."
257,"Alzan Studios, LLC"
258,Amanita Design
259,"Amaranth Games, LLC"
260,Amaterasu Software
261,Ambiera
262,Amegami
263,Ametist studio
264,Amistech Games
265,AMPLITUDE Studios
266,AN Productions
267,Anarchy Enterprises
268,Anarteam
269,Anate Studio
270,Anatoliy Loginovskikh
271,Anatoly Konstantinov
272,anchor Inc.
273,Andrade Games
274,André Bertaglia
275,Andreas Hager Gaming
276,Andreas Stieger
277,Andrettin
278,"Andrew ""Versus"" Larionov"
279,Andrew and Christopher Kirmse
280,Andrew Bates
281,Andrew Drumov
282,Andrew Gilmour
283,Andrew Moran
284,Andrew Morrish
285,"AndrewDrumov, Sanke Berdochan"
286,Andrey Malyarov
287,Andrey Rumak
288,Andrii Vintsevych
289,Andy Sztark
290,Andy Wallace
291,Anea_Duo_Dev
292,Angels Blue Digital Entertainment
293,Angry Demon Studio
294,Angry Mob Games
295,Angry Rabbit Studios
296,Anima Project
297,Animation Arts
298,Animu Game
299,Animus Interactive Inc
300,Anisoptera Games
301,Ankake Spa
302,Ankama Games
303,Ankama Studio
304,Ankur Rathore
305,Annaliese Bevan
306,Anne Mönkkönen
307,Anoop Nihar Srinivas
308,Another Story
309,Anothink
310,AnRaEl
311,ansdor
312,Anshar Studios
313,Ansimuz Games
314,Ant.Karlov
315,Antagonist
316,Antanas Marcelionis
317,"Antaria, LLC"
318,Antarsoft
319,Anteater Games
320,Anthony Case
321,Anthony Rotondo
322,Anthony Septim
323,Antimatter Games
324,Anton Riot and Co
325,Antonio Renna
326,Anuman Interactive
327,Anvate Games
328,Anvil Game Studios
329,Ape Law
330,Apeiron
331,"APLUS Co., Ltd"
332,Apoapsis Studios
333,app2fun
334,Apparition Games
335,Appeal
336,Applava
337,Application Systems Heidelberg
338,Appliks Apps Studios
339,Applimazing
340,Appnormals Team
341,Apus Software
342,AQUASTYLE
343,Aquiris Game Studio
344,AQURIA
345,"AQURIA Co., Ltd."
346,Arachnid Games
347,Arai Koh Create Office
348,Aratog LLC
349,Arbitrary Metric
350,Arc System Works
351,ARC SYSTEM WORKS
352,Arcane Raise
353,"Arcen Games, LLC"
354,Archetype Interactive
355,Archetype Studios
356,Archive Entertainment
357,Arcturus Interactive
358,Arcupion Art
359,Ardi Studio
360,Area 120
361,AREA 35
362,ARES Inc.
363,Argali Entertainment
364,Argent Games
365,Argonauts Interactive
366,Argus Games
367,Arif Games
368,ARIKA
369,Arkane Studios
370,Arkavi Studios
371,Arkedo
372,Armature Studio
373,Armnomads LLC
374,Army Game Studio
375,Arnaud De Bock
376,Aron Miller
377,Arrowhead Game Studios
378,Art in Heart
379,Art-Arcade
380,Artaani
381,Artdink
382,ARTDINK CORPORATION
383,ARTE France
384,Artefacts Studios
385,Artem Bondin
386,Artem Kotov
387,Artematica Entertainment
388,ArtemizGame
389,ArtePiazza
390,Artery Games
391,Artifex Mundi
392,Artifice Studio
393,"Artix Entertainment, LLC"
394,Artnumeris
395,Artogon
396,Artplant
397,Artur Games
398,ArtVostok
399,Arupaca Laboratories
400,Arvi Teikari
401,Arzola's
402,Ascanio Entertainment
403,Ascaron
404,Ascaron Entertainment ltd.
405,Ashdar Games
406,AsicxArt
407,ASK Homework
408,Askiisoft
409,Aslan Game Studio
410,Asmodee Digital
411,Asobo Studio
412,Aspyr
413,Aspyr (Linux)
414,Aspyr (Mac & Linux)
415,"Aspyr (Mac, Linux, & Windows Update)"
416,Aspyr (Mac)
417,Aspyr Studios
418,Asteristic Game Studio
419,Asteroid Base
420,astragon Entertainment
421,ASTRO PORT
422,Astronomic Games
423,Asylum Entertainment Inc.
424,Asymmetric
425,Atapki
426,ATC Games
427,Atelier 801
428,Aterdux Entertainment
429,Athena Works
430,ATLUS
431,Atom Republic
432,ATOMIC BREATH
433,Atomic Fabrik
434,Atomic Jelly
435,AtomicTorch Studio
436,AtomTeam
437,Attu Games
438,Atum Software
439,Atypical Games
440,AuraLab
441,Aurelien Regard
442,Auroch Digital
443,AURORA Games
444,Aurora Studio
445,AurumDust
446,Autarca
447,AutoAttack Games
448,Automaton
449,Autotelic Games LLC
450,Avalanche Publishing
451,Avalanche Software
452,Avalanche Studios
453,Avallon Alliance
454,Avatar Creations
455,Avidly Wild Games
456,Avinash Kalapala
457,Avocavo
458,Awaceb
459,AWAR
460,Awesome Enterprises
461,Awesome Games Studio
462,AwesomeBlade
463,Awfully Nice Studios
464,Awoker Games
465,Axel Shokk
466,Axel Sonic
467,Axis Game Factory LLC
468,Axis Games
469,Axolot Games
470,Axyos Games
471,AYGames
472,AZ-Art Development Studio
473,AZAMATIKA
474,Azerion
475,azimut team
476,Azorian
477,b-Alive
478,b-alive gmbh
479,B-evil
480,B2Expand
481,B4T Games
482,B52 Development Team
483,Baba Yaga Games
484,Back To Basics Gaming
485,Backwoods Entertainment
486,Bacon Bandit Games
487,Bacq Stellan
488,Bad Pixel
489,Bad Seed
490,"BadFly Interactive, a.s."
491,Badim
492,Badland Development Studio
