game_category_id,game_id
7,4647
7,18977
7,14365
14,19418
14,15068
14,2985
17,1768
17,1764
19,17875
20,919
21,20249
21,19073
21,15816
21,14937
21,14571
21,14467
21,13496
21,13458
21,13093
21,12196
21,12141
21,12073
21,11248
21,10942
21,10510
21,10404
21,9502
21,8920
21,8889
21,8324
21,8304
21,6333
21,6325
21,6277
21,5694
21,4977
21,4888
21,4811
21,4806
21,4613
21,4500
21,4487
21,4216
21,3857
21,3626
21,3537
21,3538
21,3353
21,3325
21,3133
21,2824
21,2557
21,2552
21,2111
21,1908
21,1389
21,1376
21,1354
22,17140
22,15516
24,2520
24,3241
2,6022
5,16494
5,9999
7,1897
9,7790
9,16777
16,2356
16,2355
16,20462
18,3811
19,4924
21,4779
21,4769
21,1768
21,1764
22,9235
22,7756
22,1797
24,5578
1,15955
1,9297
1,3613
5,1371
5,10796
5,5326
5,3819
5,3317
9,4546
11,19293
11,20069
14,12464
14,7418
14,16335
14,8693
14,3084
14,2005
14,1862
16,6022
17,7885
21,13695
21,9010
21,7624
21,1839
21,4317
24,24939
24,7785
24,1930
26,3140
26,9730
26,3601
2,5572
2,2113
2,1973
5,13937
5,9427
5,10804
5,6590
5,6123
5,3277
5,3014
5,2371
14,10875
14,9285
14,6367
14,6122
14,5441
14,5232
14,5226
14,4463
14,3741
14,2735
14,2245
14,2084
14,2031
14,1701
18,16117
19,22106
19,6250
19,2356
19,8114
19,4008
19,3489
21,12195
21,4186
21,3030
22,13617
22,10499
22,3328
22,2752
24,1630
24,2105
24,15300
26,2011
28,2811
2,25133
2,6535
4,8327
5,4491
10,11779
11,9105
14,1757
14,18364
14,2128
14,4726
15,2001
18,4115
18,2132
19,2103
20,15632
24,7570
26,8229
26,7870
26,7071
26,5589
26,5362
26,3522
26,3437
26,3198
26,2570
26,2224
26,2108
26,1869
26,1564
2,22392
5,16276
7,4635
7,1952
10,7790
16,2436
16,7574
16,12758
16,4981
16,15793
20,11073
21,7352
21,13030
23,9129
24,6302
6,16511
6,10253
6,7448
10,18599
10,16785
11,16317
11,13073
14,10473
14,2049
15,23223
15,7162
21,12036
22,1934
24,9679
24,13599
24,7415
24,5703
24,2803
24,1979
4,2163
5,19455
14,2549
14,4854
14,937
17,24455
19,19175
21,14024
21,5838
22,2456
23,13626
23,1760
23,9372
24,6140
24,2148
24,2326
24,9464
5,2019
5,16500
17,12918
19,4482
20,6662
21,12954
21,12848
21,6892
21,21964
21,18998
21,17859
21,15213
21,15179
21,15172
21,14655
21,14222
21,12832
21,11510
21,10346
21,9998
22,2156
23,7498
23,2920
23,11148
23,11369
24,7277
24,5682
24,3596
24,2762
26,13197
26,11249
26,9884
26,3723
26,2997
26,2761
26,2479
26,2287
2,1425
5,5725
5,1769
10,16304
16,5133
17,1934
19,4191
21,3410
21,2974
22,2118
24,1592
24,15322
24,12157
24,4395
24,1672
7,4111
10,18637
10,11146
15,20928
15,6928
18,11369
19,10261
21,5031
21,10075
21,15055
22,16877
22,8029
24,6748
24,6448
24,2602
5,25438
5,3851
9,4287
10,25905
14,3869
14,2289
14,1601
17,16628
19,8989
19,6797
19,5274
19,4104
19,15094
19,7375
19,4766
21,4264
22,7051
22,2978
22,1318
23,25697
24,3964
15,12572
16,23223
16,7162
16,8616
16,8305
16,20456
19,22380
20,2924
21,16731
21,4424
21,1761
21,26962
21,26761
21,26406
21,25174
21,24256
21,24038
21,24040
21,23979
21,23572
21,23083
21,22783
21,22496
21,22145
21,21936
21,20952
21,20829
21,20797
21,19016
21,18850
21,17778
21,17575
21,17119
21,16994
21,16923
21,15537
21,15500
21,15423
21,15031
21,14796
21,14689
21,14574
21,14570
21,14266
21,14253
21,13905
21,13654
21,13579
21,12978
21,12854
21,12763
21,11872
21,11831
21,11631
21,11581
21,11397
21,11316
21,11268
21,11108
21,10486
21,10472
21,10337
21,10071
21,9954
21,9856
21,9687
21,9545
21,9506
21,8677
21,8582
21,8535
21,8493
21,8343
21,8334
21,8258
21,8171
21,8172
21,8164
21,7977
21,7940
21,7735
21,7730
21,7618
21,7619
21,7582
21,7256
21,6961
21,6752
21,6596
21,6593
21,6568
21,6422
21,6402
21,6114
21,6029
21,5681
21,5665
21,5581
21,5361
21,5340
21,5223
21,5183
21,5185
21,5149
21,5086
21,5084
21,4960
21,4658
21,4601
21,4548
21,4538
21,4525
21,4518
21,4467
21,4368
21,4362
21,4293
21,4282
21,4233
21,4227
21,4120
21,4074
21,4021
21,3980
21,3918
21,3864
21,3865
21,3854
21,3721
21,3709
21,3641
21,3616
21,3611
21,3558
21,3394
21,3298
21,3259
21,3260
21,3224
21,3222
21,2869
21,2694
21,2605
21,2600
21,2574
21,2492
21,2468
21,2457
21,2380
21,2362
21,2227
21,2228
21,2210
21,2205
21,2086
21,1987
21,1901
21,1863
21,1811
21,1754
21,1566
21,1536
21,1401
21,1350
21,1310
21,1118
22,1312
24,4329
24,3217
24,18462
24,12719
24,6814
24,4004
26,919
26,6918
26,2305
28,1720
5,25549
7,1873
15,3459
21,13575
21,26344
22,2984
22,7207
14,1465
19,4437
19,10650
21,13788
24,4779
24,4769
24,4499
24,2020
24,3436
24,2514
26,14992
1,7096
5,8828
6,20700
6,13398
10,4109
18,7477
18,5922
18,3785
18,2766
19,18772
21,4102
21,1349
23,7096
23,10382
25,13811
2,10293
10,6954
16,5113
19,4287
19,14949
21,6875
22,12546
23,17289
7,1773
10,24310
10,21236
10,18088
10,10205
10,4258
10,1121
14,2743
14,13470
16,18518
17,16406
17,11478
17,2292
17,2174
24,3732
24,2322
2,8271
2,3563
2,12613
4,14152
9,24113
14,14365
15,14705
16,9831
16,7204
16,7926
16,9902
21,10884
21,10264
21,3319
21,2689
21,2494
23,4394
24,10064
26,3781
4,7321
5,23410
10,24156
10,22815
10,21906
10,18888
10,13952
14,2531
14,2118
14,2060
19,7639
19,9268
20,19193
21,2986
22,18462
22,12719
22,6814
22,4004
24,1896
1,12507
2,18977
6,3187
14,2022
14,4979
16,18767
16,16746
16,15063
16,11864
16,11678
16,11296
16,9834
16,9802
16,5680
16,4323
16,12808
17,21690
17,13727
19,16275
19,8077
19,14378
19,10523
20,5643
21,26236
21,8604
21,7463
21,6909
21,4753
21,3113
21,1702
21,1635
22,2172
22,1373
24,5685
26,2938
28,1642
4,20997
4,18276
4,650
5,4102
6,18491
17,2895
19,15955
19,9297
19,3613
21,3441
21,15374
22,6769
22,2317
22,1542
23,5633
23,4694
24,1786
24,1653
25,8114
3,7096
7,1371
10,10884
14,17572
15,11693
15,7811
15,3947
15,1524
19,19219
19,13803
19,13400
19,5513
19,4838
19,3861
19,27056
19,26767
19,26548
19,26241
19,25523
19,25407
19,25371
19,25284
19,24588
19,24472
19,24232
19,24112
19,23913
19,23394
19,22740
19,22673
19,21646
19,21437
19,21384
19,21372
19,20935
19,20653
19,20602
19,20560
19,20537
19,20267
19,20046
19,19234
19,18822
19,18725
19,18473
19,18149
19,17842
19,17654
19,17594
19,17580
19,17352
19,16926
19,16827
19,16795
19,16742
19,16691
19,16578
19,16527
19,16449
19,16400
19,16334
19,16157
19,16009
19,15839
19,15797
19,15701
19,15669
19,15636
19,15624
19,15561
19,15445
19,15430
19,15371
19,15333
19,15282
19,15259
19,15093
19,15079
19,15010
19,14960
19,14953
19,14885
19,14788
19,14789
19,14737
19,14444
19,14429
19,14434
19,14389
19,14313
19,14188
19,14117
19,14110
19,14060
19,13957
19,13951
