game_genre_id,game_id
1,1491
13,1537
5,1842
2,2888
17,2910
12,2962
7,3030
1,3529
19,4991
1,5856
12,8023
2,9779
5,11711
2,13568
12,14902
17,15098
13,16319
17,19831
19,20095
16,21463
12,1486
19,2534
7,4431
17,4551
2,5671
17,5681
7,5817
12,6417
22,7613
12,7911
1,8450
16,8732
12,10073
17,10133
12,10421
19,11399
12,13212
12,15238
2,19239
19,21734
12,2500
5,4513
2,4663
5,6587
2,6701
12,7425
12,9407
7,9467
12,11091
2,11145
13,17800
12,18459
16,19806
19,24346
17,26028
7,1716
1,1885
1,2225
12,2332
17,2512
1,3911
12,4661
17,4857
1,5230
7,6763
1,7042
13,8102
1,8764
5,10027
22,10045
1,10790
9,11029
12,11389
17,11441
1,12559
2,14222
9,14282
17,14452
12,14520
19,15498
5,19343
5,77
21,2358
12,4146
1,4511
25,4557
12,6084
2,7940
1,8251
11,8704
17,12905
17,13727
9,15831
19,16013
12,17704
2,17906
19,18156
2,20791
12,20973
19,1253
2,2043
12,2253
5,3191
12,5138
16,5793
5,5982
17,6962
1,7589
5,8004
12,8768
12,10842
1,12510
5,13769
5,14885
12,16031
2,18888
9,21157
22,22167
13,24488
19,24667
9,316
5,1304
2,1678
1,2041
2,2402
12,3662
2,3732
12,4753
1,4924
5,6599
12,7549
12,11055
17,11285
2,12508
12,14320
1,14769
12,16509
1,18890
17,25126
9,1824
12,1982
12,2130
2,2184
22,2824
19,2966
22,4129
1,4822
17,5185
12,5261
5,6081
1,7482
19,8475
1,9074
2,9715
5,10633
7,10881
12,10949
5,11903
2,16717
1,18380
7,21782
5,24068
1,1729
2,1974
5,3020
1,3803
14,4257
2,4979
12,5215
5,5907
12,7237
1,7656
12,8717
2,8919
12,11745
2,12772
12,14024
22,18949
13,19670
17,20069
1,21549
11,23034
9,23812
12,23962
25,1706
2,2147
12,2233
1,2324
1,3810
12,5008
20,5172
12,5222
13,6645
12,7050
2,7334
22,7974
12,9666
5,9870
13,12199
25,12536
12,14065
19,15065
22,15793
12,16107
11,17692
2,18000
1,18215
22,19004
7,21003
1,932
12,2579
1,3006
13,3994
1,4247
22,4704
22,5526
12,5836
9,6590
19,7442
1,8059
17,8274
1,8499
12,10088
12,10372
13,11003
1,11999
17,13153
1,14874
25,14920
2,15213
12,17366
2,19222
22,20320
13,23926
17,1636
2,1650
1,1797
1,2281
22,2590
3,4296
19,4521
5,5847
12,6775
12,7553
10,8736
9,9047
12,9279
1,9618
21,9746
7,11159
2,12320
22,13398
2,14394
11,15488
19,15570
2,16332
5,17357
19,19625
13,24097
12,26080
5,319
1,1064
2,1375
19,1601
14,1677
22,2355
19,2477
12,2665
2,3397
12,3487
12,4416
17,4492
2,4506
2,5740
17,5754
2,6528
17,6550
1,7937
12,8420
1,9919
17,10206
1,10579
13,10881
5,11186
21,11557
22,14487
17,15607
19,16488
12,17498
2,17536
5,18198
19,21339
12,22661
1,22824
19,25865
12,1431
19,1619
2,3415
1,4351
12,4434
2,7780
17,7794
12,7870
11,11404
12,12058
12,13253
22,14185
12,15401
17,17540
9,19258
12,26335
22,2219
1,2652
2,2859
12,3057
12,3079
1,3498
19,5354
12,6338
1,6511
19,6918
22,7278
7,8048
2,8174
17,8184
12,8572
19,9550
12,9866
21,11453
1,12093
12,12879
1,13332
12,13753
19,13949
1,15374
19,15975
12,17858
2,19188
1,19573
5,23121
5,23975
17,1585
1,1872
1,2236
12,2321
17,2525
22,2635
17,3627
12,3815
1,5219
17,5378
12,5582
5,5762
7,6758
2,7438
12,7636
22,8390
9,8962
12,9116
7,9262
1,10795
1,12546
2,14447
19,15495
17,25977
17,1308
12,1488
19,1556
12,2620
17,3334
12,4373
1,5966
12,6415
7,6475
2,6613
5,6723
7,7869
9,10201
1,14901
17,15188
1,16980
19,18471
22,20303
5,21382
7,22392
19,25948
12,26264
2,1571
1,2232
22,2639
19,2769
12,3811
12,4668
2,4838
12,5578
19,5646
17,6890
12,7632
1,8757
2,9026
12,9112
2,9396
1,11737
2,12401
12,12459
12,14173
12,14513
2,18448
22,20665
12,23545
5,24387
5,1279
1,1566
2,1897
12,1971
2,2181
3,2810
5,3301
17,3941
9,5096
1,6849
12,7020
9,7154
12,7322
12,9508
9,10838
1,11411
2,11748
1,14266
22,15703
5,19148
22,19756
9,24027
9,25491
2,25633
2,1867
1,2512
5,2865
12,3979
12,4948
19,5990
12,7352
2,9692
19,9922
17,10790
1,12398
9,12637
12,12739
18,14434
1,14452
25,18525
14,19804
9,25521
1,1407
22,2148
1,2707
12,2878
2,3044
2,3090
12,3272
22,3986
12,4119
5,5293
12,6157
5,7351
12,8627
12,9797
2,10611
19,11675
12,11871
9,12830
12,13686
11,14048
9,14852
12,15002
19,16703
12,19169
18,19628
2,20754
2,22792
22,2304
12,2650
2,2688
1,3073
19,3688
17,4543
19,4791
22,7621
1,7986
19,8979
12,10017
7,10085
17,10221
17,10241
7,13398
22,14152
5,14514
12,15358
2,17587
1,18984
12,19333
2,1272
5,1902
22,1912
1,2659
12,3128
2,3298
5,3956
12,4327
5,5213
1,5820
2,6183
12,6397
25,6402
21,6864
19,7375
2,8145
12,8515
22,8729
2,9839
1,10484
12,10585
5,10773
1,15303
5,16711
12,18961
5,23960
12,24732
9,26612
19,99
12,1105
1,1532
5,2289
16,2318
1,2576
1,3558
22,3857
2,4174
22,5070
9,6140
23,6571
22,7124
17,8700
5,8828
1,13400
2,15669
7,15787
12,15855
19,15915
7,16956
12,17016
1,17365
9,19722
7,20751
12,20811
12,22205
2,26671
22,1120
12,1850
12,2262
1,2427
5,3180
22,3194
12,3872
22,4261
17,4915
9,7035
12,7141
12,7187
1,7614
14,7963
2,9591
1,11290
17,11643
19,11891
5,12836
17,13906
7,16727
12,18149
1,18596
17,18885
12,20223
9,21832
2,23830
12,25714
1,1194
22,1629
5,2471
22,2481
17,2599
12,2795
1,2886
22,3655
12,4546
2,6402
12,7726
2,7924
12,8294
5,9002
19,9300
13,10755
22,12303
1,13048
9,13259
19,14183
17,15235
2,15253
12,17198
1,19097
19,21551
1,24156
5,25859
19,25995
17,2
22,1122
12,1848
17,2036
17,2072
12,2260
22,2958
1,3727
9,4028
2,4088
16,5816
22,6333
1,7612
22,8011
5,8029
12,8793
1,9218
9,11563
12,12650
12,13980
9,14830
22,14890
11,15632
2,15964
1,16572
5,16989
2,18897
22,19879
9,21180
1,23445
19,26548
5,26832
22,1326
12,1652
1,2009
1,2101
12,2456
19,3498
5,4605
12,4785
22,5661
12,7517
19,7833
12,9443
1,9550
12,11513
19,12093
5,12213
1,12683
5,13162
19,13332
5,13468
2,14566
22,17649
9,18229
2,18289
12,20401
22,27018
1,1252
17,2665
1,2824
1,3326
12,3411
17,4416
12,4492
12,5754
1,6103
2,6476
7,7716
1,8141
22,9074
12,10206
2,10472
2,13367
1,13632
19,14121
22,14263
23,14884
2,15323
12,15607
5,16428
9,17406
1,22024
19,23675
9,24353
5,25275
7,27049
1,1126
22,1681
2,3339
12,3537
22,3723
1,4259
22,4692
2,5666
1,5973
19,6864
12,7906
2,8304
12,10416
7,10484
5,11274
5,12501
12,13423
12,15235
1,15832
9,17276
1,17849
5,18612
2,19234
19,20426
2,20491
2,27061
5,2257
2,2887
17,3239
17,4216
12,4276
19,4976
2,6040
2,6260
1,6403
13,6865
12,8024
17,8668
9,9848
1,10059
17,10694
12,13781
19,13841
2,15637
1,17397
19,18822
5,21031
12,26837
21,2222
12,2691
1,2862
12,3445
1,4103
19,6772
22,6890
2,7836
1,8171
19,9162
19,9276
12,10232
12,10260
12,13117
2,15371
17,15389
12,17222
5,18448
17,19344
14,21373
5,23765
2,24387
1,26726
1,1780
17,2169
1,2328
22,3055
12,3907
12,5020
1,5575
1,6699
2,7004
5,7996
19,8700
2,9492
5,11928
13,12203
5,13745
25,14574
17,15915
13,22566
2,25803
22,788
12,1976
22,2830
13,3549
1,3599
9,3900
2,5031
1,5414
22,6097
2,7101
17,7261
1,9346
12,9519
2,9717
12,10947
1,11416
5,12966
12,16785
12,18827
5,19761
19,20838
12,21154
5,23028
12,1081
19,2065
17,3311
1,4433
2,6096
12,6374
1,6475
16,6741
2,8578
22,9716
2,9844
25,10065
22,11758
5,11768
1,12057
5,14653
17,15037
1,15402
5,16075
9,22091
1,22392
12,2267
19,2847
2,4087
9,5274
1,6725
17,6948
2,6962
12,7144
12,7198
2,7364
1,9229
5,9964
22,10518
11,10714
12,10828
18,12510
7,12577
2,13897
12,13971
12,16009
17,18888
5,19016
12,25727
9,1537
1,2270
22,2601
5,2623
12,3717
2,4736
12,5548
12,7606
5,7930
19,8250
22,8356
19,10272
12,11282
19,12246
11,13147
25,14020
1,16012
12,16161
5,17420
12,18240
12,18604
19,19304
14,19538
12,20314
2,20352
12,21619
22,22313
5,22739
1,1113
12,1524
22,2370
7,2652
17,3362
12,3566
19,5379
2,5661
12,6443
21,6918
1,8048
2,8271
12,10083
5,11203
19,11453
12,12153
12,13222
1,13821
17,15494
5,16134
7,19573
21,2062
12,2595
19,3601
1,4263
12,4362
12,5884
12,7910
1,8011
2,8308
12,10072
2,10114
12,13213
17,13479
11,14333
11,14353
17,17194
1,17853
5,18268
1,19879
1,22158
2,22549
12,1544
2,1746
1,1957
12,2532
19,2592
5,3422
12,3602
12,4813
2,5601
2,6669
12,7457
22,7803
1,8900
1,9522
5,10303
1,10974
12,11397
1,11560
5,12233
12,12378
19,13214
1,15899
19,17427
5,17563
12,18391
19,19465
5,19585
12,21732
12,2221
13,2770
5,3041
22,3063
19,3231
19,4160
1,4649
9,5356
1,6707
12,7272
2,7346
1,7621
22,8570
19,9746
1,11159
1,14152
1,14500
21,15570
13,17175
2,597
2,1443
19,1725
5,2521
2,2639
12,2709
1,3278
12,3427
1,4113
17,4464
12,4540
22,4838
17,5766
1,6155
12,6566
12,7760
2,7818
12,8216
2,10036
7,10154
12,10222
17,12088
12,13533
5,14461
16,14722
1,15004
2,15389
1,15722
22,18448
1,19175
1,24682
1,1476
19,2113
22,2271
16,2358
1,2600
1,3550
1,4353
22,5120
5,5142
13,5413
1,5879
17,6266
12,8456
1,10067
17,11816
14,14021
7,14949
2,17050
12,19884
9,20973
9,22043
17,22089
1,22724
17,301
22,1357
2,1741
1,1978
12,2555
17,4638
12,4818
9,5562
22,6546
12,7486
9,7584
5,8250
17,9146
1,9517
1,10945
5,12246
19,15259
22,15603
12,16446
12,18468
5,19304
12,21755
9,1618
5,2668
22,2682
1,3963
12,4617
17,4805
2,4819
5,5811
14,5879
9,6797
1,1417
13,1627
19,2060
21,2533
12,3016
2,3300
2,6093
2,8151
19,8833
12,10591
5,10771
19,11629
22,16727
12,17915
23,19652
22,21092
2,22034
9,22102
1,22373
19,25438
12,26752
17,1116
19,2232
17,2992
1,3367
12,4181
1,4600
19,5223
1,5646
12,6223
19,7051
1,7700
12,8121
2,8491
19,8757
12,9735
9,9881
12,10731
17,12814
25,15143
5,15970
1,17634
7,17675
17,17795
2,19065
2,22858
12,26584
12,26676
12,1308
12,2800
12,3334
19,3778
17,4373
12,4569
22,4739
12,5679
1,6018
1,6254
19,6663
22,6809
5,7545
12,7733
12,8317
2,8359
12,10343
12,13496
11,14126
2,15480
19,16625
14,18471
2,24952
17,26264
1,1137
12,1500
22,1670
19,2548
12,4377
2,4547
22,4675
19,4829
1,5954
12,6403
1,8024
22,9233
12,10059
22,11275
12,12113
7,13372
5,14552
9,15114
12,15252
2,15544
5,16174
17,17615
19,21250
22,21404
5,23440
5,25134
19,25254
12,938
17,1168
1,1521
22,1798
19,1944
1,2589
2,2922
12,3142
17,3210
1,3563
12,4249
1,4404
19,4957
22,7129
5,7225
1,7896
22,8807
2,9745
1,13397
12,13816
5,14004
1,15439
2,17753
9,19185
1,19394
5,24038
17,26584
1,26965
12,1942
2,2208
12,3980
22,4105
5,4127
7,4887
12,4947
16,5654
12,7359
19,8059
22,8165
2,8749
2,10807
2,12574
22,12958
19,14874
5,14994
1,18404
19,20808
5,22070
1,1286
14,2127
16,2548
12,2887
1,3356
5,4093
12,4206
2,4276
1,5685
12,6040
12,6260
9,8532
5,11626
19,14027
1,15544
12,15637
5,16846
7,17712
5,18900
12,26595
22,1207
2,2267
1,2476
19,3013
12,4087
22,6248
12,6962
17,7166
12,7364
5,8640
17,8768
1,8993
2,10828
9,11774
5,11820
12,15955
2,16009
1,16489
2,18692
12,18910
9,25549
12,1640
1,1989
22,2782
22,3368
12,3698
2,3752
22,4599
2,4727
12,4781
2,5505
22,5633
12,6839
22,8275
5,10163
6,13815
12,16449
1,16876
19,22336
11,22782
12,23710
9,25160
5,26220
12,1516
2,3372
22,3756
5,5523
12,5855
1,6002
1,6302
17,6655
2,10145
1,10554
19,11091
1,12819
2,13458
1,13797
5,14568
25,15789
17,17663
19,18459
2,19205
9,20584
21,21805
17,22560
25,24293
12,24346
22,25096
1,1204
2,1475
22,1603
5,2489
17,2617
12,2805
2,3545
22,3673
17,4368
19,4632
5,9410
2,10068
5,11480
12,12180
1,13030
17,24355
9,26915
17,717
17,3361
1,4255
7,4470
5,5512
12,6440
19,7450
22,7556
12,8342
13,9503
1,9933
2,10326
12,10380
25,10611
12,12154
1,12808
7,13335
12,13395
25,15798
17,17170
2,20535
12,26963
12,1450
22,2332
12,3504
19,3700
7,4395
12,4463
2,4533
5,5589
2,5699
9,7709
2,8209
5,9095
5,9329
1,10620
16,11668
18,12867
2,15566
1,16942
12,19353
12,20656
7,22274
1,1212
2,1483
17,1501
22,2471
5,2481
2,2599
12,2813
1,2896
5,3655
12,5666
12,7736
1,8085
12,8304
1,8669
5,9020
19,12423
17,15253
9,15303
17,15459
13,16711
19,18186
22,18324
12,19234
12,20491
12,22545
1,22972
21,24010
9,24881
22,25859
1,26612
5,1073
1,1744
12,1917
2,1959
17,1969
2,2123
12,2193
5,3115
22,3133
17,4011
13,4551
12,5048
22,5908
9,9588
12,9706
19,9774
21,10183
19,10690
1,11179
1,16633
12,18082
12,23947
7,24015
2,54
12,1818
2,1984
17,2006
12,2294
1,2395
22,2988
19,3268
2,4058
2,4869
12,5087
17,5349
2,5363
19,6125
5,6281
22,6303
1,6760
12,7219
12,8827
1,12517
2,12690
12,24044
1,1740
17,1965
1,3798
12,3963
22,4350
1,4617
12,5028
2,5256
12,7102
12,8704
25,9225
2,9516
12,9718
1,11191
9,11634
5,13705
12,14021
15,14258
12,14633
2,14835
5,14949
5,17906
12,18770
12,20132
5,20791
19,22089
19,24603
12,2702
1,2851
12,3448
19,3772
12,4519
22,4861
12,5713
1,6140
12,6589
12,8195
2,8409
5,9401
12,10265
19,12532
12,13104
1,14983
12,17227
1,19722
7,22566
16,23249
2,26908
17,1390
12,2638
17,2690
17,3444
12,3512
12,4455
3,5172
5,5597
17,5725
12,6525
12,7819
12,8387
22,9113
18,9870
12,10037
13,11600
14,12536
23,17070
17,17223
1,19004
17,19293
12,19345
5,20267
12,20664
2,24462
8,1899
22,2364
12,2662
17,2730
1,4322
12,4431
5,4611
19,4747
12,5817
1,6392
17,7791
1,8518
13,9570
1,9904
25,9954
5,11197
12,12039
1,12917
9,15196
7,15472
22,16633
9,19239
2,19299
9,20494
12,1355
22,1553
17,2667
1,3324
12,3409
2,3467
22,3595
1,4131
7,7718
22,11114
5,11132
12,12230
19,12509
16,13916
19,14535
2,15321
5,18392
7,19260
2,19362
2,22397
7,22499
5,23303
1,24080
1,1776
12,1885
5,3083
1,3818
17,3979
2,3997
1,4661
2,7000
12,7042
12,8764
12,10790
2,11004
1,11389
5,11932
17,12739
5,12867
5,13749
13,19687
12,1798
2,2012
12,2282
1,2375
13,3427
1,3761
12,3868
12,5173
1,5528
5,6293
1,6772
12,7215
5,8491
1,9162
12,9617
17,11591
19,13670
2,15970
12,16056
1,16514
17,18937
19,19185
1,21575
12,21994
19,26726
1,1782
7,1823
2,2157
12,2231
1,3820
7,5082
2,7006
12,7044
12,7282
17,7358
1,7647
12,8762
1,9111
5,9856
22,9878
11,12959
19,13627
9,19968
7,20997
12,21943
7,22003
2,23169
22,1312
12,1658
1,2007
1,2107
12,2454
5,2778
5,3372
22,3386
12,3680
2,3770
9,3838
17,4723
12,4799
22,5651
14,5697
22,6655
12,6821
1,8886
9,9093
12,9453
1,9536
13,9874
2,11227
12,12328
16,12955
2,14568
22,17161
13,22249
12,25284
12,1522
22,1704
22,2372
12,2590
1,2995
1,4250
5,4731
12,5825
1,5996
5,6753
12,7899
2,8265
12,8339
1,8510
12,10085
12,10377
7,15358
17,19707
11,21374
5,1356
22,1370
12,1536
1,1965
22,2742
1,4023
19,4353
19,6427
1,7300
12,7465
5,7781
7,9427
5,10203
5,10295
12,11131
7,14304
9,16160
9,18241
5,19593
12,23296
19,2305
17,2569
1,2920
17,3583
12,4588
22,4790
2,6444
17,6458
12,6646
6,7227
2,7898
1,8677
5,8964
1,10751
12,12196
22,12321
19,12479
12,13179
9,13285
5,14273
22,14395
2,15291
1,15674
2,17370
12,17654
1,19127
1,26656
12,27021
5,1515
9,1593
1,2278
12,3773
1,3856
9,4860
1,5071
2,5454
7,5584
22,5838
2,6818
5,7874
5,8330
12,9158
12,9264
2,11014
12,11228
12,11306
11,13461
1,13998
2,14297
17,14371
2,14389
19,15581
19,17226
12,20322
12,21437
12,21579
13,24678
5,26275
2,1402
12,1440
22,2326
12,2636
17,2688
9,2770
2,3424
12,3514
22,3808
2,4543
12,5779
1,5950
5,6707
14,7553
2,7763
8,8736
21,10998
19,12342
1,12895
17,13118
2,13534
19,16461
12,17289
19,1127
1,1550
1,2530
22,3299
5,3317
19,4258
2,5194
12,5264
21,5821
1,6865
2,7078
1,7463
22,8600
12,8898
5,9848
21,10485
1,11395
12,11566
1,12380
2,12587
5,12989
12,13831
16,15192
1,16304
7,16846
7,17976
17,18096
12,21177
22,1564
19,2414
12,2730
1,2823
12,3420
2,4441
12,4483
7,4551
12,5749
17,5817
2,6467
12,6553
12,7791
12,8231
2,8445
22,9085
7,10133
2,10471
9,12117
5,12376
12,13076
9,15248
12,15608
11,16633
19,26058
1,679
17,1072
12,1276
1,3403
2,4323
1,5730
12,6179
5,7023
12,8149
1,8240
22,8903
13,9186
2,9905
22,11563
1,12252
7,13596
2,16911
9,17853
1,19298
22,21180
22,23206
12,24074
12,26712
17,1865
2,1887
12,1925
12,2153
2,2227
1,2500
12,3999
1,4845
2,5228
9,7218
2,7286
12,7340
22,8182
22,8638
2,11730
22,11858
11,15789
1,2809
2,3192
12,3234
1,3343
1,5670
12,6247
2,6333
1,6602
2,8011
12,8081
17,8469
12,9775
12,13596
22,14762
1,15197
5,17963
2,19879
5,21230
2,22158
12,24582
1,2294
12,2395
17,2455
11,2765
1,5087
12,5508
21,6213
12,6760
9,6902
2,7492
12,7582
22,8332
1,8827
12,11322
12,12517
21,15652
12,16542
5,17362
19,22643
12,25097
1,189
5,1450
1,1867
2,2512
7,3768
12,3836
1,3921
12,4643
2,4857
1,5006
12,5589
2,6883
1,7060
2,7445
19,7691
12,9095
12,9329
2,9387
1,9692
2,11441
1,16117
17,25236
22,1733
13,2016
22,2345
7,2615
1,3038
2,3423
22,3807
1,4343
17,4502
5,4630
16,5097
11,6870
12,7862
2,8228
17,8242
12,8446
16,8781
5,9138
5,9284
2,10302
2,15611
1,16923
17,17548
5,20246
1,20776
19,25317
19,25875
1,2598
12,3197
9,3299
12,4258
19,5264
12,5972
2,6030
17,6040
5,7170
1,7907
12,8014
2,8668
22,8796
19,8898
2,10694
22,10822
19,11566
25,12053
1,13208
2,13593
5,14691
2,15093
17,15637
5,18164
5,25493
2,529
2,1511
22,2443
5,2461
12,2769
1,3210
12,3367
7,3427
1,4181
12,5646
1,6223
2,6456
5,7512
12,7700
1,8121
5,8976
5,9446
1,9735
2,10096
12,10154
1,10731
17,13397
7,13533
17,15439
5,16335
19,23545
1,26584
2,1139
5,2057
23,2656
1,2792
17,2953
2,3177
12,3251
1,3358
19,5214
12,6042
2,6316
1,7725
12,8064
12,9790
1,10131
22,10888
13,11181
1,17197
1,19649
12,19820
1,25018
2,26839
1,1968
25,2018
1,2140
2,2347
17,2365
19,2613
5,2749
19,3523
2,3805
12,4824
1,4981
12,5422
5,5730
9,6748
12,6850
1,7321
12,7476
2,7662
19,7920
22,8230
1,8913
17,9136
9,9186
2,9296
19,10062
17,11356
12,11408
1,11581
25,12720
16,17031
7,21685
22,626
22,1412
5,1426
1,1907
12,2354
2,2536
19,3328
2,3614
12,3780
19,4575
12,4635
12,5613
17,6861
2,6875
17,7483
5,7867
5,8435
12,9151
12,9289
5,10473
1,10760
11,13548
1,14039
12,16224
19,17203
1,18092
22,19521
2,20417
23,21217
1,25549
22,1507
2,1635
12,1721
12,2389
1,3854
12,5514
12,6758
1,7229
9,7438
12,7568
19,7764
17,8980
12,9262
2,9460
5,10382
12,11316
5,12152
1,14000
13,14990
22,17354
2,18364
5,20719
9,23335
1,25692
5,26301
1,2471
1,3665
12,4899
12,5333
1,5496
22,8669
9,10755
12,11627
12,12724
19,13702
19,15772
1,18552
7,23202
5,24156
1,1513
17,2916
12,2984
2,3204
2,4187
19,5299
7,5939
1,6454
12,8045
17,8097
12,8485
19,8929
17,13018
22,16032
9,20928
7,24310
17,24630
17,26560
1,1416
22,1919
12,3017
12,3135
17,3315
19,4900
22,5050
5,5210
7,6334
21,6871
12,7948
12,8516
12,9906
1,10015
12,10590
21,11123
5,11748
17,11876
19,12723
9,13599
12,13697
1,15296
1,15414
9,17042
18,17473
12,17914
22,18764
2,19148
17,22021
12,1318
21,1803
2,2576
12,2762
1,2919
2,3558
12,5653
1,6228
7,6589
17,13390
25,13693
22,14296
12,17657
5,18357
17,20720
19,21518
12,22566
9,24398
12,26222
5,1311
1,2066
2,2405
12,2495
2,3731
13,4329
19,4434
5,4570
12,4758
2,5562
7,7486
12,7546
17,7606
5,8318
12,9010
16,10651
9,11190
2,11268
19,12058
2,14125
22,15543
17,16161
5,22559
12,23717
19,26335
17,2382
17,3768
2,4721
12,4779
12,6833
22,7709
22,8277
12,8975
12,9465
1,10936
12,11029
22,13456
1,13927
12,14282
17,14570
22,15498
1,25469
5,1095
22,1105
1,1702
12,1803
17,2091
5,2987
12,3857
9,3983
5,4226
12,5070
12,5176
17,5364
13,5703
12,7124
12,7202
1,7567
19,8622
2,8880
1,9159
19,9816
5,9936
12,11654
1,12532
12,12633
12,14659
17,14735
22,15855
2,15983
4,16401
9,17994
5,22855
19,24689
1,25112
1,1585
12,2160
17,2236
5,2876
1,3627
19,5995
12,7349
12,8957
5,11869
12,12750
5,15000
12,18863
12,1884
17,1936
17,2172
12,2224
19,2932
5,3082
21,3435
1,3819
12,3910
7,5163
12,5231
1,5570
22,6361
16,6448
17,6991
5,7993
2,8935
12,9675
19,9743
5,9863
2,11005
1,11146
19,11797
12,12558
1,18222
12,20121
1,21483
19,22132
12,23978
2,25400
1,1441
16,1727
22,1878
1,2637
2,3276
2,4115
22,7295
1,7816
7,8033
12,8557
5,9687
1,10458
19,10931
12,12894
1,13299
25,13399
12,13736
12,14916
22,16767
2,17151
12,19007
17,19717
2,22998
19,23870
2,24680
1,526
12,1109
2,1167
16,1766
2,2915
22,5180
19,7352
12,8060
17,9742
12,9922
17,10722
5,11668
12,11992
2,15665
7,16952
2,19132
22,20170
12,22201
22,25521
1,1264
12,1373
19,1689
16,2050
5,2557
2,2667
17,2685
12,3399
5,3595
5,5410
22,5428
5,6862
1,8153
2,8422
5,9072
1,9831
2,10492
1,10635
1,12962
1,13652
19,14545
1,15032
17,15321
5,16440
12,17538
1,17711
17,22673
22,23303
19,25127
2,26319
12,1386
2,2652
12,2694
1,2859
2,3498
1,4098
2,6511
12,6581
16,6918
19,7559
19,9273
9,10083
1,11850
17,12075
2,12093
17,15342
12,19289
1,19714
17,22346
5,23334
1,24113
1,1689
17,2040
12,2264
1,4700
5,6311
17,6951
2,6961
12,7197
13,7778
17,9583
12,9635
5,9967
1,11284
12,11705
2,12732
2,13898
25,14191
9,15892
2,21236
12,21976
12,23092
17,23822
2,434
5,1490
17,1618
23,2135
1,2271
17,2494
6,3263
12,3716
11,4557
9,4805
22,6427
2,6811
1,7148
2,7533
25,8704
12,9225
2,9427
5,10053
12,11283
25,14021
1,16013
12,16160
1,18156
12,18241
12,21380
12,23656
17,23716
5,26266
7,679
1,1208
12,2809
22,4746
1,6247
2,6416
5,7536
1,8081
7,8240
12,8308
1,9775
12,10114
16,10973
19,11356
5,12299
21,12650
2,13213
1,13596
19,14197
5,14333
12,22549
17,24367
2,24377
22,1572
19,1722
12,2706
12,3428
2,3518
5,3624
21,3913
12,4539
5,4855
2,5783
12,6561
22,7437
12,8223
7,8283
12,10217
1,11870
1,15003
12,15158
12,15552
19,16531
12,17239
1,19168
7,20512
1,20937
12,25024
1,1015
1,1025
19,2436
2,2714
1,3053
1,3099
9,3368
9,4599
12,5791
12,6515
2,6569
9,6637
1,9878
12,10043
1,11916
2,13522
1,14921
12,15378
